catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
91,TING (caldron),item,Bronze,Containers,metalwork; bronze,Three rings on cover which is intended to serve as a dish,,H26 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
92,TING (caldron),item,Bronze,Containers,metalwork; bronze,,,H 18’5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
93,CHIEN ( basin),item,Bronze,Containers,metalwork; bronze,Coiled-serpent design,,Di 28 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
94,TOU (food vessel),item,Bronze,Containers,metalwork; bronze,,,H 17 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
95,HU ( wine vessel),item,Bronze,Containers,metalwork; bronze,Phoenix and dragon design,,H 35cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
96,TING (caldron),item,Bronze,Containers,metalwork; bronze,,,H 20.3cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
97,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,Animal form with a bird’s head serving as cover,,H 19.3 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
98,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,SQUARE .  Inlaid with malachite,,H 46.3cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
99,FU (food vessel),item,Bronze,Containers,metalwork; bronze,Cover missing,Inscribed,L 35cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,"Shou Hsien , Ch‘u State",,"THE CHINESE GOVERNMENT, Anhui Provincial Library",,government,"Anhui, China",yes,,
100,FU (food vessel),item,Bronze,Containers,metalwork; bronze,Cover missing,Inscribed,L 28-5cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Chêng State,,THE CHINESE GOVERNMENT,,government,China,,,
101,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,,Inscribed,H 20 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",,,
102,P'AN (basin),item,Bronze,Containers,metalwork; bronze,RECTANGULAR. with chain handles,,52 by 32 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,"Shou Hsien , Ch‘u State",,"THE CHINESE GOVERNMENT, Anhui Provincial Library",,government,"Anhui, China",yes,,
103,MIN ( wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 16.8 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
104,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,"in bovine form, Inlaid with gold, silver and turquoise 、",,H28.9 cm,1 Shang-Yin or and  Zhou Dynasty,,,,THE CHINESE GOVERNMENT,,government,China,,,
105,TING (caldron) and cover,item,Bronze,Containers,metalwork; bronze,Coiled-serpent design,,H 49 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
106,TSUNG (a ritual emblem),item,Jade,Ceremonial Objects,gemstones; jade,,,20.5 by 7.6 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
107,JAR,item,Ceramics,pottery,ceramics; pottery,"black pottery, with scroll ornaments in low relief",,H 16.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MRS MARGOT HOLMES, London",,private,"London, U.K.",yes,,
108,FIGURE OF KNEELING WARRIOR,item,Bronze,Sculptures,metalwork; bronze,,,H 17.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
109,FINIAL of a chariot pole,item,Bronze,Vehicles,metalwork; bronze,,,H 5.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
110,SWORD,item,Bronze,Weapons,metalwork; bronze,,,L 64.5 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,From Shou Hsien,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",,,
111,TIGER,item,Bronze,Sculptures,metalwork; bronze,,,L 16.8 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
112,P‘AN (basin),item,Bronze,Containers,metalwork; bronze,"incomplete , Fishes and turtles in relief 。",,Di 44 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
113,TING (caldron) and cover,item,Bronze,Containers,metalwork; bronze,,,"H 17 cm, W 30.5 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
114,LIEN (casket) and cover,item,Bronze,Containers,metalwork; bronze,,,H 26.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
115,CHARIOT FURNITURE,item,Bronze,Vehicles,metalwork; bronze,surmounted by a tiger,,"H 6.3 cm, W 9 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
116,TSUNG (ritual emblem),item,Jade,Ceremonial Objects,gemstones; jade,,,H 20.7 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
117,HANDLE,item,Bronze,Tools,metalwork; bronze,decorated with four heads,,H 9.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
118,JAR AND COVER,item,Ceramics,pottery,ceramics; pottery,red pottery with white slip and inlaid glass bead ornament in diced pattern interspersed with circles,,H 11.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
119,SWORD,item,Bronze,Weapons,metalwork; bronze,with turquoise-inlaid handle,,L 51*4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",,,
